path,dir,name,size,dword0,container_class,is_pol_dup,dup_identical,table_entry_count,model_count,tex_ref_count,tex_max_id,tex_referenced_bytes,tex_file_bytes,tex_delta_bytes,note
pol/pol_bg_adv07.bin,pol,pol_bg_adv07.bin,35681,0x00015440,compressed,1,1,,,,,,,,
pol/pol_bg_adv08.bin,pol,pol_bg_adv08.bin,66258,0x00026380,compressed,1,1,,,,,,,,
pol/pol_bg_adv09.bin,pol,pol_bg_adv09.bin,59782,0x00022220,compressed,1,1,,,,,,,,
pol/pol_bg_adv10.bin,pol,pol_bg_adv10.bin,232,0x000003C0,compressed,1,1,,,,,,,,
pol/pol_bg_adv11.bin,pol,pol_bg_adv11.bin,102269,0x0002E480,compressed,1,1,,,,,,,,
pol/pol_bg_adv12.bin,pol,pol_bg_adv12.bin,18781,0x00009EA0,compressed,1,1,,,,,,,,
pol/pol_bg_adv13.bin,pol,pol_bg_adv13.bin,24060,0x0000FE60,compressed,1,1,,,,,,,,
pol/pol_bg_adv14.bin,pol,pol_bg_adv14.bin,15149,0x0000AAC0,compressed,1,1,,,,,,,,
pol/pol_bg_adv15.bin,pol,pol_bg_adv15.bin,20341,0x0000B200,compressed,1,1,,,,,,,,
pol/pol_bg_adv16.bin,pol,pol_bg_adv16.bin,13994,0x0000C680,compressed,1,1,,,,,,,,
pol/pol_bg_adv17.bin,pol,pol_bg_adv17.bin,48266,0x0001D560,compressed,1,1,,,,,,,,
pol/pol_bg_adv18.bin,pol,pol_bg_adv18.bin,76351,0x0002C6A0,compressed,1,1,,,,,,,,
pol/pol_bg_result01.bin,pol,pol_bg_result01.bin,74750,0x0002ABE0,compressed,1,1,,,,,,,,
pol/pol_bg_result02.bin,pol,pol_bg_result02.bin,66621,0x0002B780,compressed,1,1,,,,,,,,
pol/pol_bg_result03.bin,pol,pol_bg_result03.bin,9688,0x00005CE0,compressed,1,1,,,,,,,,
pol/pol_bg_result04.bin,pol,pol_bg_result04.bin,52817,0x000152A0,compressed,1,1,,,,,,,,
